1	141	107
2	43	18
3	104	52
4	40	51
5	68	89
6	49	149
7	147	150
8	125	5
9	40	129
10	37	100
11	80	127
12	6	48
13	40	146
14	14	27
15	34	51
16	110	142
17	110	35
18	113	98
19	147	73
20	98	56
21	133	93
22	81	72
23	78	96
24	70	30
25	1	150
26	50	3
27	90	100
28	100	15
29	7	116
30	46	92
31	47	86
32	138	87
33	52	71
34	57	133
35	35	50
36	11	52
37	110	88
38	144	77
39	27	71
40	82	144
41	118	33
42	127	10
43	119	12
44	103	81
45	3	116
46	80	150
47	78	25
48	30	98
49	123	85
50	114	16
51	54	59
52	45	2
53	46	14
54	3	142
55	2	82
56	122	133
57	140	36
58	86	52
59	129	29
60	111	42
61	86	32
62	64	131
63	12	25
64	67	63
65	32	13
66	119	103
67	90	5
68	30	8
69	105	43
70	91	34
71	108	70
72	110	6
73	78	48
74	41	86
75	2	40
76	73	22
77	126	42
78	19	55
79	84	71
80	6	116
81	67	33
82	19	45
83	6	60
84	17	137
85	147	116
86	109	69
87	70	100
88	75	128
89	54	143
90	16	137
91	56	65
92	65	90
93	116	121
94	133	112
95	134	76
96	66	52
97	83	13
98	61	47
99	18	109
100	97	50
101	34	93
102	121	63
103	108	120
104	66	131
105	89	16
106	104	136
107	58	66
108	147	32
109	145	20
110	42	69
111	76	142
112	72	75
113	51	16
114	89	124
115	134	131
116	76	92
117	133	6
118	43	82
119	134	126
120	2	55
121	19	109
122	11	27
123	7	67
124	64	71
125	146	38
126	92	34
127	141	109
128	59	48
129	26	135
130	120	61
131	84	120
132	74	35
133	151	114
134	39	15
135	20	150
136	42	142
137	79	138
138	2	39
139	53	57
140	105	115
141	138	48
142	11	49
143	119	88
144	57	94
145	44	144
146	73	97
147	76	144
148	4	85
149	106	52
150	36	94
151	85	77
152	83	96
153	12	105
154	35	4
155	25	150
156	124	28
157	126	70
158	119	81
159	106	18
160	117	88
161	84	130
162	37	140
163	57	74
164	119	91
165	134	146
166	31	77
167	70	111
168	128	143
169	128	7
170	109	86
171	1	16
172	122	24
173	146	118
174	137	4
175	73	107
176	62	139
177	61	114
178	47	125
179	147	102
180	33	5
181	75	146
182	68	38
183	41	38
184	100	140
185	47	122
186	5	147
187	109	17
188	49	1
189	38	142
190	24	47
191	9	57
192	122	74
193	59	92
194	87	107
195	148	151
196	86	29
197	45	22
